retention,area
12.934,230320
12.941,263800
12.949,262483
12.956,270539
12.963,272010
12.971,248283
12.978,265294
12.985,246646
12.993,260926
13,258180
13.007,235904
13.015,230181
13.022,216408
13.029,190344
13.037,185892
13.044,182301
13.051,193635
13.059,203740
13.066,210332
13.073,210356
13.08,279952
13.088,331844
13.095,398180
13.102,416726
13.11,368096
13.117,307385
13.124,260445
13.132,247479
13.139,249809
13.146,285786
13.154,283920
13.161,267356
13.168,252602
13.176,250738
13.183,234242
13.19,230230
13.198,224804
13.205,210728
13.212,223331
13.22,235086
13.227,221120
13.234,235386
13.242,238541
13.249,236682
13.256,227056
13.264,235867
13.271,262637
13.278,247392
13.285,236430
13.293,239047
13.3,216670
13.307,223037
13.315,210888
13.322,210664
13.329,190948
13.337,214131
13.344,229779
13.351,276492
13.359,285392
13.366,287079
13.373,287748
13.381,252480
13.388,233154
13.395,228058
13.403,236104
13.41,233955
13.417,224344
13.425,223889
13.432,221350
13.439,223772
13.447,276448
13.454,302318
13.461,349925
13.469,359312
13.476,324729
13.483,293258
13.491,257577
13.498,248880
13.505,242086
13.512,239548
13.52,232862
13.527,217682
13.534,227134
13.542,217541
13.549,220399
13.556,204457
13.564,206365
13.571,185394
13.578,180879
13.586,165441
13.593,179298
13.6,182628
13.608,177210
13.615,186383
13.622,167768
13.63,173470
13.637,193611
13.644,191662
13.652,186959
13.659,199755
13.666,180301
13.674,181488
13.681,181777
13.688,163860
13.696,154194
13.703,176823
13.71,190576
13.717,198999
13.725,201905
13.732,192214
13.739,189708
13.747,204829
13.754,225137
13.761,224213
13.769,242783
13.776,243428
13.783,242848
13.791,229402
13.798,206743
13.805,191281
13.813,202614
13.82,191469
13.827,185241
13.835,183398
13.842,185396
13.849,193724
13.857,183299
13.864,181832
13.871,194733
13.879,190632
13.886,203084
13.893,193073
13.901,200828
13.908,189458
13.915,169536
13.923,172280
13.93,173384
13.937,180795
13.944,205430
13.952,242922
13.959,273196
13.966,292699
13.974,272195
13.981,241470
13.988,232738
13.996,208836
14.003,213683
14.01,187097
14.018,182314
14.025,173276
14.032,164534
14.04,163093
14.047,158889
14.054,168587
14.062,159013
14.069,144736
14.076,162809
14.084,180062
14.091,178765
14.098,194722
14.106,178280
14.113,176313
14.12,190745
14.128,183129
14.135,177762
14.142,190243
14.149,196370
14.157,284640
14.164,433820
14.171,684112
14.179,1070906
14.186,1412482
14.193,1704619
14.201,1465057
14.208,930766
14.215,518034
14.223,373990
14.23,338395
14.237,284861
14.245,262407
14.252,219810
14.259,187547
14.267,179613
14.274,159604
14.281,173977
14.289,181604
14.296,168569
14.303,176769
14.311,185005
14.318,182943
14.325,168057
14.333,165778
14.34,169698
14.347,149734
14.354,146701
14.362,148181
14.369,152080
14.376,163925
14.384,163722
14.391,150327
14.398,155356
14.406,163837
14.413,172616
14.42,173622
14.428,183518
14.435,176181
14.442,178838
14.45,174408
14.457,183091
14.464,198881
14.472,219486
14.479,231001
14.486,218637
14.494,210534
14.501,178206
14.508,156301
14.516,155540
14.523,145819
14.53,137175
14.538,144720
14.545,136597
14.552,151611
14.56,154421
14.567,168796
14.574,149127
14.581,156071
14.589,174425
14.596,166384
14.603,184570
14.611,177820
14.618,158192
14.625,153337
14.633,162259
14.64,131836
14.647,133388
14.655,128007
14.662,137040
14.669,157594
14.677,156436
14.684,184480
14.691,199465
14.699,216316
14.706,229814
14.713,257938
14.721,269309
14.728,272220
14.735,243339
14.743,217358
14.75,180618
14.757,154155
14.765,148518
14.772,149229
14.779,140159
14.786,165798
14.794,166182
14.801,179256
14.808,173328
14.816,161402
14.823,160206
14.83,148995
14.838,135327
14.845,131496
14.852,143083
14.86,127406
14.867,133895
14.874,128933
14.882,144878
14.889,161444
14.896,174580
14.904,184743
14.911,171850
14.918,168652
14.926,171659
14.933,176149
14.94,153428
14.948,162169
14.955,177360
14.962,165314
14.97,157263
14.977,156884
14.984,133532
14.992,137127
14.999,132710
15.006,133787
15.013,121912
15.021,123505
15.028,119715
15.035,123800
15.043,126045
15.05,136109
15.057,132888
15.065,141963
15.072,156222
15.079,189822
15.087,185894
15.094,172499
15.101,141980
15.109,145097
15.116,139881
15.123,118889
15.131,120133
15.138,120428
15.145,120905
15.153,137919
15.16,133457
15.167,134901
15.175,125768
15.182,124022
15.189,125811
15.197,130919
15.204,130541
15.211,147935
15.218,162997
15.226,163097
15.233,146673
15.24,136202
15.248,122825
15.255,123033
15.262,111542
15.27,102603
15.277,115518
15.284,120274
15.292,110737
15.299,110164
15.306,108375
15.314,111975
15.321,119841
15.328,118970
15.336,101093
15.343,106713
15.35,106872
15.358,114479
15.365,133748
15.372,147233
15.38,158203
15.387,150738
15.394,178615
15.402,145895
15.409,150164
15.416,135623
15.424,130868
15.431,115501
15.438,120448
15.445,116417
15.453,113709
15.46,122908
15.467,112706
15.475,117642
15.482,114323
15.489,115635
15.497,138719
15.504,119564
15.511,126759
15.519,131805
15.526,109861
15.533,102100
15.541,117042
15.548,91635
15.555,97100
15.563,90248
15.57,93246
15.577,99229
15.585,94828
15.592,92081
15.599,97300
15.607,101113
15.614,106692
15.621,118355
15.629,117587
15.636,131010
15.643,150331
15.65,149317
15.658,180874
15.665,195933
15.672,216630
15.68,200961
15.687,159712
15.694,121514
15.702,99905
15.709,99319
15.716,109054
15.724,122309
15.731,119997
15.738,151501
15.746,157812
15.753,152965
15.76,143520
15.768,145791
15.775,144915
15.782,130670
15.79,132595
15.797,136052
15.804,156084
15.812,174318
15.819,163879
15.826,133411
15.834,128111
15.841,99586
15.848,99548
15.856,105137
15.863,95050
15.87,100929
15.877,111815
15.885,118426
15.892,114729
15.899,111357
15.907,120705
15.914,117125
15.921,99150
15.929,106062
15.936,105344
15.943,100192
15.951,97216
15.958,105792
15.965,105229
15.973,101009
15.98,107342
15.987,94302
15.995,106043
16.002,99982
16.009,93825
16.017,95613
16.024,85459
16.031,99670
16.039,99597
16.046,102392
16.053,101041
16.061,96902
16.068,101135
16.075,105832
16.082,101015
16.09,94017
16.097,92902
16.104,93669
16.112,114909
16.119,105405
16.126,99897
16.134,104097
16.141,122281
16.148,118204
16.156,119087
16.163,101818
16.17,85303
16.178,93322
16.185,84492
16.192,100867
16.2,110028
16.207,138793
16.214,140714
16.222,132262
16.229,123330
16.236,107064
16.244,106517
16.251,107943
16.258,110887
16.266,99292
16.273,100373
16.28,100116
16.288,91112
16.295,81355
16.302,95114
16.309,90890
16.317,82348
16.324,99100
16.331,100300
16.339,111647
16.346,133883
16.353,153733
16.361,160933
16.368,166529
16.375,168887
16.383,183010
16.39,193413
16.397,199294
16.405,183216
16.412,159523
16.419,134858
16.427,119541
16.434,99854
16.441,87373
16.449,90495
16.456,94474
16.463,89100
16.471,82214
16.478,106350
16.485,93702
16.493,103133
16.5,102839
16.507,109350
16.514,96431
16.522,96469
16.529,100284
16.536,97705
16.544,86847
16.551,89995
16.558,87875
16.566,75122
16.573,79166
16.58,78814
16.588,83566
16.595,99416
16.602,99935
16.61,103170
16.617,101147
16.624,92490
16.632,92001
16.639,97882
16.646,97795
16.654,86089
16.661,80419
16.668,92370
16.676,83832
16.683,85791
16.69,79751
16.698,84743
16.705,75525
16.712,74141
16.719,74071
16.727,62998
16.734,83428
16.741,109949
16.749,175862
16.756,282105
16.763,476700
16.771,650147
16.778,806351
16.785,746994
16.793,563151
16.8,319632
16.807,183392
16.815,112274
16.822,104380
16.829,85063
16.837,90030
16.844,77324
16.851,80445
16.859,81905
16.866,81730
16.873,59416
16.881,70796
16.888,75193
16.895,75989
16.903,66491
16.91,63662
16.917,78485
16.925,57466
16.932,70634
16.939,61094
16.946,66024
16.954,61761
16.961,62425
16.968,74458
16.976,72576
16.983,71333
16.99,71155
16.998,72927
17.005,61875
17.012,62611
17.02,58740
17.027,61041
17.034,66819
17.042,71464
17.049,63869
17.056,63591
17.064,58779
17.071,61110
17.078,65751
17.086,64945
17.093,66627
17.1,77485
17.108,75135
17.115,69596
17.122,72067
17.13,76964
17.137,72646
17.144,72081
17.151,71466
17.159,67184
17.166,64241
17.173,63928
17.181,58347
17.188,64099
17.195,66921
17.203,60613
17.21,67084
17.217,63834
17.225,62857
17.232,66002
17.239,69323
17.247,63586
17.254,57606
17.261,58672
17.269,50091
17.276,51484
17.283,58038
17.291,61145
17.298,56752
17.305,75976
17.313,84936
17.32,110702
17.327,154785
17.335,329381
17.342,464750
17.349,507452
17.357,627043
17.364,431182
17.371,392210
17.378,274613
17.386,208453
17.393,159676
17.4,119259
17.408,103524
17.415,92417
17.422,90926
17.43,115346
17.437,158021
17.444,200027
17.452,129870
17.459,110822
17.466,101827
17.474,112436
17.481,118757
17.488,121155
17.496,141956
17.503,156701
17.51,126378
17.518,110041
17.525,87203
17.532,74534
17.54,78940
17.547,72648
17.554,82178
17.562,96898
17.569,96041
17.576,109297
17.583,103742
17.591,84659
17.598,67088
17.605,69372
17.613,73825
17.62,68280
17.627,70224
17.635,68373
17.642,67803
17.649,66454
17.657,73539
17.664,73540
17.671,76252
17.679,72031
17.686,74482
17.693,54948
17.701,55161
17.708,58379
17.715,60536
17.723,66264
17.73,63049
17.737,55283
17.745,62585
17.752,63320
17.759,64115
17.767,70609
17.774,63424
17.781,70115
17.788,61897
17.796,63544
17.803,60662
17.81,62338
17.818,62540
17.825,75635
17.832,82477
17.84,91944
17.847,91755
17.854,100431
17.862,95603
17.869,84557
17.876,56695
17.884,58921
17.891,50435
17.898,49102
17.906,57204
17.913,56186
17.92,53011
17.928,52250
17.935,55700
17.942,49759
17.95,47248
17.957,53189
17.964,59976
17.972,58867
17.979,60679
17.986,66774
17.994,78099
18.001,79855
18.008,69038
18.015,72016
18.023,60590
18.03,66572
18.037,62705
18.045,56527
18.052,54162
18.059,55639
18.067,55303
18.074,58059
18.081,65337
18.089,73751
18.096,91529
18.103,113062
18.111,110005
18.118,123395
18.125,99321
18.133,68768
18.14,62745
18.147,48752
18.155,49250
18.162,46512
18.169,50557
18.177,51741
18.184,43818
18.191,49091
18.199,53720
18.206,46919
18.213,56566
18.221,57539
18.228,51114
18.235,49962
18.242,49534
18.25,54846
18.257,51785
18.264,41882
18.272,48203
18.279,47652
18.286,40492
18.294,41511
18.301,48039
18.308,51270
18.316,38273
18.323,40992
18.33,43391
18.338,44206
18.345,42395
18.352,40661
18.36,43216
18.367,47227
18.374,40528
18.382,48177
18.389,39708
18.396,44683
18.404,39894
18.411,42757
18.418,40316
18.426,37455
18.433,42867
18.44,46586
18.447,48321
18.455,63924
18.462,81008
18.469,104094
18.477,136642
18.484,185498
18.491,194686
18.499,196277
18.506,147545
18.513,113146
18.521,99467
18.528,87107
18.535,78324
18.543,69826
18.55,65453
18.557,56384
18.565,48744
18.572,48964
18.579,50372
18.587,49021
18.594,53172
18.601,55637
18.609,50143
18.616,46715
18.623,52202
18.631,57279
18.638,51057
18.645,51391
18.652,46284
18.66,46734
18.667,44176
18.674,44622
18.682,40350
18.689,46198
18.696,36308
18.704,49213
18.711,39638
18.718,41252
18.726,44042
18.733,38496
18.74,45315
18.748,41993
18.755,46918
18.762,41709
18.77,43819
18.777,45788
18.784,45065
18.792,46041
18.799,41052
18.806,39102
18.814,33431
18.821,39460
18.828,50685
18.836,57520
18.843,68097
18.85,83673
18.858,74297
18.865,67159
18.872,52753
18.879,52125
18.887,54968
18.894,47294
18.901,41007
18.909,41505
18.916,38868
18.923,48268
18.931,47991
18.938,40205
18.945,45164
18.953,47951
18.96,42447
18.967,39992
18.975,37861
18.982,37174
18.989,33970
18.997,37718
19.004,40969
19.011,33468
19.019,36099
19.026,29432
19.033,35967
19.041,30962
19.048,34227
19.055,34469
19.063,29168
19.07,33610
19.077,38739
19.084,40027
19.092,37690
19.099,49861
19.106,52739
19.114,56958
19.121,72082
19.128,78846
19.136,82424
19.143,71065
19.15,64166
19.158,51867
19.165,47085
19.172,53880
19.18,52361
19.187,51337
19.194,43736
19.202,38657
19.209,35594
19.216,34473
19.224,41287
19.231,49198
19.238,43239
19.246,42867
19.253,38019
19.26,39504
19.268,46055
19.275,45940
19.282,46815
19.29,51904
19.297,64818
19.304,54514
19.311,55819
19.319,56874
19.326,48509
19.333,41916
19.341,39920
19.348,34348
19.355,43628
19.363,36409
19.37,41548
19.377,45982
19.385,46245
19.392,37408
19.399,38584
19.407,45020
19.414,40649
19.421,47978
19.429,37898
19.436,42056
19.443,46658
19.451,46211
19.458,51298
19.465,55775
19.473,63362
19.48,57142
19.487,58766
19.495,70902
19.502,77172
19.509,86321
19.516,80006
19.524,76276
19.531,69062
19.538,57547
19.546,54726
19.553,60812
19.56,75169
19.568,86635
19.575,106303
19.582,131445
19.59,162023
19.597,179914
19.604,212385
19.612,201884
19.619,161730
19.626,123922
19.634,82258
19.641,64859
19.648,56308
19.656,40295
19.663,41895
19.67,40501
19.678,38345
19.685,39567
19.692,43778
19.7,48329
19.707,51560
19.714,59606
19.722,67492
19.729,61776
19.736,71971
19.743,71975
19.751,86053
19.758,88392
19.765,87188
19.773,85019
19.78,86778
19.787,66788
19.795,62465
19.802,64626
19.809,65534
19.817,74305
19.824,68204
19.831,63115
19.839,50265
19.846,49817
19.853,62248
19.861,62695
19.868,84559
19.875,87990
19.883,84129
19.89,80899
19.897,70086
19.905,58595
19.912,63360
19.919,55824
19.927,47308
19.934,46803
19.941,51768
19.948,48752
19.956,45955
19.963,33035
19.97,32881
19.978,27793
19.985,31074
19.992,34162
20,23898
20.007,29493
20.014,27661
20.022,36191
20.029,34814
20.036,31931
20.044,36359
20.051,39509
20.058,33625
20.066,36246
20.073,35998
20.08,32188
20.088,31052
20.095,32787
20.102,29008
20.11,29530
20.117,33862
20.124,32496
20.132,42218
20.139,43555
20.146,44373
20.154,45201
20.161,53865
20.168,87075
20.175,154777
20.183,281041
20.19,562971
20.197,893183
20.205,1502635
20.212,2205191
20.219,3159943
20.227,4172494
20.234,5697671
20.241,7341776
20.249,8913121
20.256,7860215
20.263,3094385
20.271,569350
20.278,152057
20.285,88543
20.293,72985
20.3,76145
20.307,71003
20.315,60433
20.322,58832
20.329,50075
20.337,48579
20.344,47462
20.351,52317
20.358,47004
20.366,46714
20.373,48861
20.38,42598
20.388,44365
20.395,44557
20.402,37597
20.41,40889
20.417,39907
20.424,41187
20.432,35484
20.439,39249
20.446,40107
20.454,31921
20.461,25228
20.468,38434
20.476,39370
20.483,36818
20.49,40121
20.498,45651
20.505,36506
20.512,41223
20.52,44023
20.527,33209
20.534,37182
20.542,33871
20.549,35355
20.556,29134
20.564,38078
20.571,45306
20.578,51938
20.585,64525
20.593,62911
20.6,63118
20.607,54960
20.615,57270
20.622,43080
20.629,39356
20.637,32867
20.644,34462
20.651,35603
20.659,37763
20.666,36590
20.673,37247
20.681,42071
20.688,42975
20.695,34401
20.703,35044
20.71,34269
20.717,30270
20.725,32957
20.732,27287
20.739,25093
20.747,25264
20.754,26469
20.761,31642
20.769,29351
20.776,34864
20.783,36292
20.791,39763
20.798,42866
20.805,36497
20.812,39722
20.82,42803
20.827,54956
20.834,65883
20.842,82087
20.849,86217
20.856,80355
20.864,71899
20.871,58967
20.878,60729
20.886,55645
20.893,56650
20.9,72981
20.908,72773
20.915,71455
20.922,56939
20.93,45430
20.937,34687
20.944,26746
20.952,25104
20.959,28870
20.966,28831
20.974,27726
20.981,28774
20.988,28877
20.996,24545
21.003,33328
21.01,28974
21.017,22769
21.025,26773
21.032,25465
21.039,24388
21.047,22764
21.054,20295
21.061,20928
21.069,24343
21.076,31672
21.083,23710
21.091,27525
21.098,30976
21.105,28841
21.113,33617
21.12,30597
21.127,27482
21.135,30157
21.142,30695
